feedback_id,ticket_id,rating,comments
1,40993,5,"Fast resolution, no complaints."
2,73062,4,Exceeded expectations.
3,36044,4,Engineer was helpful and professional.
4,75061,1,Not fully satisfied with the fix.
5,63605,3,Not fully satisfied with the fix.
6,486,4,Exceeded expectations.
7,20719,2,Took too long to resolve.
8,15963,3,Had to follow up multiple times.
9,46591,2,Not fully satisfied with the fix.
10,94109,4,Exceeded expectations.
11,68323,5,Great support experience!
12,69010,2,Response was slow.
13,36032,5,Engineer was helpful and professional.
14,37214,1,Took too long to resolve.
15,61545,4,"Fast resolution, no complaints."
16,75364,4,"Issue resolved quickly, very satisfied."
17,17325,2,Issue recurred after resolution.
18,15436,4,"Issue resolved quickly, very satisfied."
19,77776,4,"Fast resolution, no complaints."
20,4890,5,Engineer was helpful and professional.
21,183,4,Great support experience!
22,78143,5,Engineer was helpful and professional.
23,7558,5,Engineer was helpful and professional.
24,62066,5,"Fast resolution, no complaints."
25,99693,2,Had to follow up multiple times.
26,46726,5,"Issue resolved quickly, very satisfied."
27,79223,4,Great support experience!
28,29019,5,Great support experience!
29,31477,1,Not fully satisfied with the fix.
30,23587,5,Engineer was helpful and professional.
31,33968,5,Engineer was helpful and professional.
32,44369,1,Not fully satisfied with the fix.
33,64462,4,"Issue resolved quickly, very satisfied."
34,40087,5,"Fast resolution, no complaints."
35,46667,3,Not fully satisfied with the fix.
36,38423,5,"Issue resolved quickly, very satisfied."
37,21523,5,"Fast resolution, no complaints."
38,59014,5,Great support experience!
39,20205,2,Had to follow up multiple times.
40,4279,4,Engineer was helpful and professional.
41,27878,5,"Issue resolved quickly, very satisfied."
42,19640,5,"Fast resolution, no complaints."
43,34100,1,Had to follow up multiple times.
44,57481,4,Exceeded expectations.
45,85531,4,Great support experience!
46,25597,3,Issue recurred after resolution.
47,44398,4,"Fast resolution, no complaints."
48,65068,4,Exceeded expectations.
49,55489,5,"Issue resolved quickly, very satisfied."
50,19400,5,"Issue resolved quickly, very satisfied."
51,36729,5,Great support experience!
52,656,1,Not fully satisfied with the fix.
53,12801,5,"Issue resolved quickly, very satisfied."
54,75136,3,Issue recurred after resolution.
55,63945,5,Exceeded expectations.
56,40989,3,Took too long to resolve.
57,55291,5,Exceeded expectations.
58,61869,3,Issue recurred after resolution.
59,85025,5,Engineer was helpful and professional.
60,87151,3,Had to follow up multiple times.
61,64261,5,Exceeded expectations.
62,23824,5,"Fast resolution, no complaints."
63,86160,4,Exceeded expectations.
64,90806,4,Engineer was helpful and professional.
65,96695,4,Great support experience!
66,82011,5,"Issue resolved quickly, very satisfied."
67,57278,3,Not fully satisfied with the fix.
68,72089,5,"Issue resolved quickly, very satisfied."
69,60352,4,"Fast resolution, no complaints."
70,94803,2,Issue recurred after resolution.
71,21441,5,"Issue resolved quickly, very satisfied."
72,58273,4,Engineer was helpful and professional.
73,84550,4,"Fast resolution, no complaints."
74,24152,4,"Issue resolved quickly, very satisfied."
75,23418,5,Exceeded expectations.
76,34032,5,Engineer was helpful and professional.
77,58177,4,Great support experience!
78,50017,4,Great support experience!
79,55055,4,Engineer was helpful and professional.
80,7006,5,Exceeded expectations.
81,67012,3,Had to follow up multiple times.
82,74245,5,"Issue resolved quickly, very satisfied."
83,5664,4,Engineer was helpful and professional.
84,41436,4,Great support experience!
85,4038,5,"Fast resolution, no complaints."
86,47140,4,Exceeded expectations.
87,83369,4,Great support experience!
88,99580,5,"Issue resolved quickly, very satisfied."
89,13817,2,Took too long to resolve.
90,55144,3,Issue recurred after resolution.
91,26278,4,"Fast resolution, no complaints."
92,30769,5,"Issue resolved quickly, very satisfied."
93,64732,3,Took too long to resolve.
94,43221,5,"Issue resolved quickly, very satisfied."
95,10111,5,Great support experience!
96,35098,3,Response was slow.
97,67451,5,Exceeded expectations.
98,6977,4,Exceeded expectations.
99,91994,4,"Issue resolved quickly, very satisfied."
100,5318,5,Great support experience!
101,96523,4,"Issue resolved quickly, very satisfied."
102,30502,4,Engineer was helpful and professional.
103,39395,4,"Issue resolved quickly, very satisfied."
104,71169,3,Had to follow up multiple times.
105,73394,4,Engineer was helpful and professional.
106,5021,3,Response was slow.
107,45172,4,Great support experience!
108,66122,1,Had to follow up multiple times.
109,34873,5,Great support experience!
110,35308,2,Had to follow up multiple times.
111,16937,5,Great support experience!
112,9655,4,"Fast resolution, no complaints."
113,86429,4,Engineer was helpful and professional.
114,86344,4,"Issue resolved quickly, very satisfied."
115,62,5,Exceeded expectations.
116,53040,5,Great support experience!
117,42147,5,"Issue resolved quickly, very satisfied."
118,2535,5,Engineer was helpful and professional.
119,90242,3,Had to follow up multiple times.
120,88310,4,Exceeded expectations.
121,61988,5,Exceeded expectations.
122,81022,4,"Issue resolved quickly, very satisfied."
123,75575,2,Took too long to resolve.
124,73965,5,Exceeded expectations.
125,53783,5,Engineer was helpful and professional.
126,86513,5,Exceeded expectations.
127,73689,5,Great support experience!
128,21610,1,Issue recurred after resolution.
129,37381,4,"Fast resolution, no complaints."
130,96636,4,Engineer was helpful and professional.
131,62249,5,"Issue resolved quickly, very satisfied."
132,69040,4,"Fast resolution, no complaints."
133,91733,3,Took too long to resolve.
134,11289,5,"Fast resolution, no complaints."
135,9745,3,Had to follow up multiple times.
136,4322,4,Exceeded expectations.
137,71141,5,Great support experience!
138,49875,4,"Fast resolution, no complaints."
139,4448,5,"Issue resolved quickly, very satisfied."
140,20282,5,Exceeded expectations.
141,89789,4,Great support experience!
142,17880,5,"Fast resolution, no complaints."
143,3526,5,"Issue resolved quickly, very satisfied."
144,81101,5,Great support experience!
145,72849,4,"Issue resolved quickly, very satisfied."
146,3455,4,Exceeded expectations.
147,50924,4,Engineer was helpful and professional.
148,94756,5,"Fast resolution, no complaints."
149,79613,5,"Issue resolved quickly, very satisfied."
150,21553,2,Response was slow.
151,49763,4,"Issue resolved quickly, very satisfied."
152,82616,4,"Issue resolved quickly, very satisfied."
153,33946,4,"Issue resolved quickly, very satisfied."
154,11700,4,"Fast resolution, no complaints."
155,26183,3,Took too long to resolve.
156,82194,4,Great support experience!
157,14846,3,Issue recurred after resolution.
158,14484,3,Response was slow.
159,27789,5,"Fast resolution, no complaints."
160,71304,1,Had to follow up multiple times.
161,89547,4,Engineer was helpful and professional.
162,50447,4,Engineer was helpful and professional.
163,61259,3,Had to follow up multiple times.
164,34794,3,Response was slow.
165,37661,3,Took too long to resolve.
166,48751,4,"Fast resolution, no complaints."
167,29877,5,Great support experience!
168,98401,5,"Fast resolution, no complaints."
169,81048,4,"Fast resolution, no complaints."
170,18058,5,"Fast resolution, no complaints."
